"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Any_alta_padro","Nombre"
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Més de 15 anys",7063
2021,4,"Les Corts",21,"Pedralbes","Dones","Més de 15 anys",3142
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Més de 15 anys",1235
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Més de 15 anys",6872
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Més de 15 anys",4812
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Més de 15 anys",7455
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Més de 15 anys",13775
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Més de 15 anys",8538
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Més de 15 anys",4716
2021,6,"Gràcia",29,"el Coll","Dones","Més de 15 anys",2198
2021,6,"Gràcia",30,"la Salut","Dones","Més de 15 anys",4095
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","Més de 15 anys",12719
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Més de 15 anys",10536
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Més de 15 anys",7892
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","Més de 15 anys",2689
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","Més de 15 anys",10810
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Més de 15 anys",3230
2021,7,"Horta-Guinardó",37,"el Carmel","Dones","Més de 15 anys",9535
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones","Més de 15 anys",3490
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Més de 15 anys",2116
2021,7,"Horta-Guinardó",40,"Montbau","Dones","Més de 15 anys",1633
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Més de 15 anys",1997
2021,7,"Horta-Guinardó",42,"la Clota","Dones","Més de 15 anys",181
2021,7,"Horta-Guinardó",43,"Horta","Dones","Més de 15 anys",8718
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Més de 15 anys",8264
2021,8,"Nou Barris",45,"Porta","Dones","Més de 15 anys",7523
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones","Més de 15 anys",4073
2021,8,"Nou Barris",47,"Can Peguera","Dones","Més de 15 anys",759
2021,8,"Nou Barris",48,"la Guineueta","Dones","Més de 15 anys",5232
2021,8,"Nou Barris",49,"Canyelles","Dones","Més de 15 anys",2540
2021,8,"Nou Barris",50,"les Roquetes","Dones","Més de 15 anys",4098
2021,8,"Nou Barris",51,"Verdun","Dones","Més de 15 anys",3478
2021,8,"Nou Barris",52,"la Prosperitat","Dones","Més de 15 anys",8202
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones","Més de 15 anys",1943
