activity_period,activity_type_code,boarding_area,geo_region,geo_summary,operating_airline,operating_airline_iata_code,passenger_count,price_category_code,published_airline,published_airline_iata_code,terminal
200511,Enplaned,F,Canada,International,United Airlines - Pre 07/01/2013,UA,7651,Other,United Airlines - Pre 07/01/2013,UA,Terminal 3
200511,Deplaned,G,Europe,International,United Airlines - Pre 07/01/2013,UA,21996,Other,United Airlines - Pre 07/01/2013,UA,International
200511,Enplaned,G,Europe,International,United Airlines - Pre 07/01/2013,UA,21571,Other,United Airlines - Pre 07/01/2013,UA,International
200511,Thru / Transit,G,Europe,International,United Airlines - Pre 07/01/2013,UA,609,Other,United Airlines - Pre 07/01/2013,UA,International
200511,Deplaned,G,Mexico,International,United Airlines - Pre 07/01/2013,UA,8612,Other,United Airlines - Pre 07/01/2013,UA,International
200511,Enplaned,G,Mexico,International,United Airlines - Pre 07/01/2013,UA,9649,Other,United Airlines - Pre 07/01/2013,UA,International
200511,Thru / Transit,G,Mexico,International,United Airlines - Pre 07/01/2013,UA,158,Other,United Airlines - Pre 07/01/2013,UA,International
200511,Deplaned,A,Europe,International,Virgin Atlantic,VS,8021,Other,Virgin Atlantic,VS,International
200511,Enplaned,A,Europe,International,Virgin Atlantic,VS,8174,Other,Virgin Atlantic,VS,International
200511,Deplaned,A,Canada,International,WestJet Airlines,WS,1268,Other,WestJet Airlines,WS,International
200511,Enplaned,A,Canada,International,WestJet Airlines,WS,1283,Other,WestJet Airlines,WS,International
200512,Deplaned,B,US,Domestic,ATA Airlines,TZ,15373,Low Fare,ATA Airlines,TZ,Terminal 1
200512,Enplaned,B,US,Domestic,ATA Airlines,TZ,16790,Low Fare,ATA Airlines,TZ,Terminal 1
200512,Thru / Transit,B,US,Domestic,ATA Airlines,TZ,2402,Low Fare,ATA Airlines,TZ,Terminal 1
200512,Deplaned,B,Canada,International,Air Canada,AC,19200,Other,Air Canada,AC,Terminal 1
200512,Enplaned,B,Canada,International,Air Canada,AC,19481,Other,Air Canada,AC,Terminal 1
200512,Deplaned,B,Canada,International,Air Canada Jazz,QK,554,Other,Air Canada,AC,Terminal 1
200512,Enplaned,B,Canada,International,Air Canada Jazz,QK,509,Other,Air Canada,AC,Terminal 1
200512,Deplaned,G,Asia,International,Air China,CA,4261,Other,Air China,CA,International
200512,Enplaned,G,Asia,International,Air China,CA,3543,Other,Air China,CA,International
